SUBJECT,FLOOR,AISLE,ROOM/DESCRIPTION,KEYWORDS
Film,3,78,,"Movie, Movies, "
Film & T.V. Criticism (P.B.),3,I,,"Paperback, Paper Back"
Film & T.V. Reference (P.B.),3,I,,"Paperback, Paper Back"
Film Industry,3,94,,"Movie, Movies, "
Film Making,3,94,,"Movie, Movies, "
Film Reference,3,94,,"Movie, Movies, "
Film Studios,3,93,,"Movie, Movies, "
Finance,4,47-48,,Economics
Finance (P.B.),3,K,,"Paperback, Paper Back, Economics"
Fine Binding,1,-,Register Room,
Finland,2,64,,"Country, Countries, Europe"
Firearms,2,9,,"Weapons, Guns,"
Firefighting,2,35,,"Occupation,"
First AID,2,71,,"Medical, Medicine, Health, Doctor, Healing, Drugs, Pharmaceutical, Nursing, Healthcare"
First Editions,3,Center,,
Fish (Pet),2,10,,"Animals, Nature,"
Fishing,2,8,,"Hunting, Camping, Outdoors, Homesteading, Nature, Animals, Hiking, Survival, "
Fitness,4,40A,,"Exercise, Diet, Working Out, Work, Dieting,"
Flags,2,Center,Front of Floor,
Floods,2,55,,Disasters
Florida,2,47,,"U.S. States, United States, South, Peninsula,"
Fluids & Electrolytes,2,72,,"Medical, Medicine, Health, Doctor, Healing, Drugs, Pharmaceutical, Nursing, Healthcare"
Folio Society,1,Case A-B,Room 4,
Folk & Country Music,1,Case I,Room 4,
Food Tech.,1,-,Room 3,
Foreign Language Bibles,1,-,Room 2,Religion 
Foreign Language Lit.,4,76-83,,"Fiction, Literature, "
Foreign Language Medical,2,70,,"Medical, Medicine, Health, Doctor, Healing, Drugs, Pharmaceutical, Nursing, Healthcare"
Foreign Language Music,1,Case T,Room 4,
Foreign Language Study,4,75,,"ELA, "
Forensic Science,4,Center,West Side,
Forestry,3,87,,"Nature, Environment, Woods, Wood,"
Founding Fathers,2,54,,"Constitution, Declaration of Independence, American Revolution, George Washington, John Hancock,"
Foxfire,3,87,,"Plants, Agriculture, Gardening, Botany, ]"
France,2,65,,"Country, Countries, Europe"
France (P.B.),3,F,,"Paperback, Paper Back, Country, Countries, Europe"
Freemasonry,1,10,Register Room,"Secret Society, "
Friendship,4,5,,
Fruits,3,87,,"Food, Gardening, Agriculture, Plants,"
Funerals,4,9,,
Galapagos,4,55,,"Islands,"
